d_id,serial,battery,status,type
833,765094,89,deactivated,Buttons
834,463384,49,deactivated,Buttons
835,199948,97,active,Buttons
836,495156,24,deactivated,Asset tracking
837,391420,87,active,Buttons
838,841865,46,deactivated,Asset tracking
839,370062,46,deactivated,Buttons
840,794334,88,deactivated,Asset tracking
841,110739,54,broken,Asset tracking
842,507348,58,active,Buttons
843,918900,52,broken,Asset tracking
844,773386,99,deactivated,Buttons
845,836514,87,deactivated,Asset tracking
846,802865,6,broken,Asset tracking
847,170787,62,deactivated,Asset tracking
848,286960,64,deactivated,Asset tracking
849,817614,17,deactivated,Buttons
850,684640,58,deactivated,Asset tracking
851,120960,75,deactivated,Buttons
852,110431,1,active,Buttons
853,871905,43,broken,Buttons
854,310908,94,broken,Asset tracking
855,381565,10,deactivated,Asset tracking
856,623516,63,deactivated,Asset tracking
857,900468,18,deactivated,Buttons
858,274138,59,deactivated,Buttons
859,314169,89,deactivated,Buttons
860,888455,55,deactivated,Buttons
861,172461,52,active,Buttons
862,201405,49,deactivated,Asset tracking
863,367934,92,deactivated,Buttons
864,593663,84,deactivated,Buttons
865,475243,36,deactivated,Asset tracking
866,699964,77,broken,Buttons
867,829345,38,deactivated,Asset tracking
868,515671,10,broken,Buttons
869,430135,24,active,Buttons
870,832752,39,active,Buttons
871,792432,26,broken,Buttons
872,169358,67,active,Buttons
873,391166,42,deactivated,Buttons
874,727450,58,active,Asset tracking
875,825684,10,active,Buttons
876,766905,54,active,Buttons
877,924918,4,broken,Buttons
878,711401,18,deactivated,Buttons
879,267686,49,deactivated,Buttons
880,563950,33,active,Buttons
881,271270,61,broken,Asset tracking
882,393185,46,broken,Asset tracking
883,533508,14,broken,Asset tracking
884,612852,11,broken,Buttons
885,866414,81,deactivated,Buttons
886,298040,15,deactivated,Asset tracking
887,999097,5,active,Asset tracking
888,569797,42,broken,Asset tracking
889,441052,31,deactivated,Asset tracking
890,181135,31,active,Asset tracking
891,881538,37,deactivated,Asset tracking
892,128870,60,deactivated,Buttons
893,119038,64,active,Buttons
894,265988,9,deactivated,Asset tracking
895,313929,10,deactivated,Buttons
896,168137,93,active,Buttons
897,474939,72,deactivated,Asset tracking
898,255907,57,deactivated,Asset tracking
899,684142,41,active,Asset tracking
900,167633,1,broken,Asset tracking
901,124922,28,deactivated,Asset tracking
902,180037,67,deactivated,Buttons
903,992066,84,deactivated,Asset tracking
904,903093,12,deactivated,Buttons
905,108521,89,deactivated,Asset tracking
906,683116,7,broken,Asset tracking
907,211924,11,deactivated,Buttons
908,194484,89,active,Asset tracking
909,166590,45,deactivated,Buttons
910,818083,4,active,Buttons
911,663625,61,active,Buttons
912,303208,40,broken,Asset tracking
913,548274,76,active,Asset tracking
914,117886,97,broken,Buttons
915,893834,26,active,Buttons
916,308841,9,deactivated,Buttons
917,718053,36,broken,Buttons
918,582903,45,deactivated,Buttons
919,669852,72,deactivated,Buttons
920,389492,2,broken,Asset tracking
921,492767,8,deactivated,Buttons
922,665333,36,deactivated,Asset tracking
923,309644,33,deactivated,Buttons
924,918822,81,active,Asset tracking
925,819614,5,deactivated,Buttons
926,325849,26,broken,Buttons
927,902351,20,deactivated,Asset tracking
928,441086,38,deactivated,Buttons
929,979781,75,deactivated,Buttons
930,890887,35,deactivated,Buttons
931,220873,68,deactivated,Buttons
932,760237,34,broken,Asset tracking
933,764135,41,broken,Asset tracking
934,782779,90,active,Asset tracking
935,161333,95,active,Buttons
936,318238,90,broken,Asset tracking
937,932531,69,deactivated,Buttons
938,961757,2,deactivated,Asset tracking
939,572234,6,active,Buttons
940,111556,99,deactivated,Asset tracking
941,833771,57,deactivated,Buttons
942,488186,60,broken,Asset tracking
943,754140,34,deactivated,Asset tracking
944,499524,54,broken,Buttons
945,969626,14,deactivated,Buttons
946,400950,91,broken,Asset tracking
947,661012,31,broken,Asset tracking
948,756904,49,broken,Buttons
949,544586,49,deactivated,Buttons
950,735471,86,deactivated,Asset tracking
951,247304,74,deactivated,Asset tracking
952,940564,58,active,Asset tracking
953,356462,24,broken,Buttons
954,411879,35,active,Asset tracking
955,357654,46,deactivated,Asset tracking
956,927819,38,active,Buttons
957,475453,53,deactivated,Asset tracking
958,463002,3,deactivated,Buttons
959,347439,30,deactivated,Buttons
960,865914,87,deactivated,Buttons
961,514280,98,broken,Buttons
962,798174,8,deactivated,Buttons
963,204991,45,deactivated,Buttons
964,906961,60,broken,Asset tracking
965,945273,5,deactivated,Asset tracking
966,825190,35,deactivated,Asset tracking
967,317417,45,deactivated,Asset tracking
968,613320,13,deactivated,Buttons
969,165816,59,active,Buttons
970,548309,7,active,Buttons
971,954392,92,deactivated,Asset tracking
972,307305,82,deactivated,Asset tracking
973,842786,6,active,Buttons
974,183886,97,active,Asset tracking
975,841233,18,deactivated,Buttons
976,987889,9,deactivated,Buttons
977,249874,58,deactivated,Asset tracking
978,588624,94,deactivated,Asset tracking
979,242162,44,deactivated,Buttons
980,883802,27,deactivated,Buttons
981,386531,60,deactivated,Asset tracking
982,123135,87,deactivated,Buttons
983,543863,3,deactivated,Buttons
984,662583,53,broken,Buttons
985,946862,97,deactivated,Asset tracking
986,111747,12,deactivated,Buttons
987,626977,99,active,Asset tracking
988,568375,76,deactivated,Asset tracking
989,198255,96,active,Asset tracking
990,604833,54,deactivated,Buttons
991,461771,76,deactivated,Buttons
992,175055,22,broken,Buttons
993,279147,19,deactivated,Asset tracking
994,525789,65,deactivated,Asset tracking
995,641516,97,deactivated,Asset tracking
996,607040,77,deactivated,Asset tracking
997,527411,18,broken,Buttons
998,462606,29,active,Buttons
999,178317,83,deactivated,Asset tracking
1000,740276,15,broken,Asset tracking
